"SpaceID","EventTime_UTC","OccupancyState"
"SV25","2026 May 12 09:08:42 AM","VACANT"
"HO1068","2026 May 12 09:08:12 AM","VACANT"
"HO42","2026 May 12 09:08:01 AM","VACANT"
"SP645","2026 May 12 09:07:50 AM","VACANT"
"SV110A","2026 May 12 09:06:16 AM","VACANT"
"66403","2026 May 12 09:06:16 AM","VACANT"
"61463","2026 May 12 09:06:16 AM","VACANT"
"SV603","2026 May 12 09:05:17 AM","VACANT"
"SV606","2026 May 12 09:04:34 AM","VACANT"
"SV250","2026 May 12 09:04:06 AM","OCCUPIED"
"82711","2026 May 12 09:04:04 AM","VACANT"
"61351","2026 May 12 09:04:01 AM","OCCUPIED"
"82706","2026 May 12 09:04:01 AM","VACANT"
"61441","2026 May 12 09:03:38 AM","OCCUPIED"
"HO72A","2026 May 12 09:03:33 AM","VACANT"
"HO25","2026 May 12 09:03:04 AM","VACANT"
"CB4454","2026 May 12 09:02:51 AM","VACANT"
"SV701","2026 May 12 09:02:50 AM","VACANT"
"HO80","2026 May 12 09:02:43 AM","VACANT"
"SV605","2026 May 12 09:02:40 AM","VACANT"
"HO112A","2026 May 12 09:02:32 AM","VACANT"
"CB3445","2026 May 12 09:02:22 AM","OCCUPIED"
"82821","2026 May 12 09:01:33 AM","VACANT"
"SV527","2026 May 12 09:00:47 AM","VACANT"
"66415","2026 May 12 08:59:56 AM","VACANT"
"CB2545","2026 May 12 08:59:55 AM","VACANT"
"HO578A","2026 May 12 08:59:20 AM","VACANT"
"HO723","2026 May 12 08:59:15 AM","VACANT"
"CB1033","2026 May 12 08:59:14 AM","OCCUPIED"
"SV18","2026 May 12 08:58:59 AM","VACANT"
"SV35","2026 May 12 08:58:35 AM","OCCUPIED"
"HO399","2026 May 12 08:58:29 AM","VACANT"
"SH396A","2026 May 12 08:57:23 AM","OCCUPIED"
"WV299","2026 May 12 08:57:20 AM","VACANT"
"CB1748","2026 May 12 08:56:11 AM","OCCUPIED"
"SV97","2026 May 12 08:55:29 AM","OCCUPIED"
"HO144","2026 May 12 08:55:27 AM","OCCUPIED"
