regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
congested,34,29,717819,773012,0.439504,False,13,>8,,False,26013.2,34.18784,-118.47407,34.0839,-118.22086
congested,31,29,764424,773012,0.430251,False,9,>8,,False,19164.9,34.17878,-118.39469,34.0839,-118.22086
congested,183,126,767495,769867,0.417539,False,6,6,,False,12790.3,34.10377,-118.24992,34.21846,-118.23931
congested,111,197,773916,772167,0.41483,False,7,7,,False,17966.5,34.15247,-118.2852,34.16526,-118.47985
congested,59,126,767366,769867,0.412244,False,12,>8,,False,21537.0,34.21216,-118.47341,34.21846,-118.23931
congested,64,126,767750,769867,0.409936,False,7,7,,False,14238.3,34.09335,-118.20635,34.21846,-118.23931
congested,44,197,774012,772167,0.406053,False,9,>8,,False,25698.6,34.14769,-118.20137,34.16526,-118.47985
congested,67,197,773880,772167,0.400316,False,6,6,,False,12163.4,34.15367,-118.3484,34.16526,-118.47985
congested,11,126,767471,769867,0.372154,False,3,3,7964.5,True,6974.9,34.15691,-118.22469,34.21846,-118.23931
congested,30,126,773013,769867,0.363334,False,8,8,,False,15077.1,34.08374,-118.22076,34.21846,-118.23931
congested,77,126,765171,769867,0.350185,False,11,>8,,False,21857.7,34.16789,-118.46896,34.21846,-118.23931
free_flow,106,105,718072,718076,0.632857,False,7,7,,False,1589.4,34.1491,-118.2257,34.16339,-118.2253
free_flow,90,105,716571,718076,0.600233,False,12,>8,,False,16878.4,34.2,-118.40337,34.16339,-118.2253
free_flow,105,107,718076,767455,0.597678,False,2,2,6499.2,True,2220.8,34.16339,-118.2253,34.14347,-118.22704
free_flow,107,105,767455,718076,0.594543,False,7,7,,False,2220.8,34.14347,-118.22704,34.16339,-118.2253
free_flow,44,105,774012,718076,0.585912,False,6,6,,False,2810.0,34.14769,-118.20137,34.16339,-118.2253
free_flow,67,105,773880,718076,0.582985,False,9,>8,,False,11378.2,34.15367,-118.3484,34.16339,-118.2253
free_flow,108,105,767454,718076,0.573198,False,7,7,,False,2217.3,34.14352,-118.22733,34.16339,-118.2253
free_flow,99,105,764120,718076,0.565192,False,14,>8,,False,16949.0,34.20164,-118.40366,34.16339,-118.2253
free_flow,4,12,717446,716339,0.494107,False,2,2,4961.7,True,2182.2,34.07142,-118.26572,34.07821,-118.28795
free_flow,106,90,718072,716571,0.493905,False,10,>8,,False,17296.9,34.1491,-118.2257,34.2,-118.40337
free_flow,105,67,718076,773880,0.493458,False,5,5,,False,11378.2,34.16339,-118.2253,34.15367,-118.3484
