regime,target,sensor_id,lat,lon,in_degree,self_mass_share,mass_on_adjacent,mass_on_far_road,mass_on_no_road_path,mass_off_adjacency
free_flow,63,769443,34.15574,-118.43931,8,0.0165,0.0476,0.2672,0.6852,0.9524
free_flow,143,718499,34.15469,-118.31253,6,0.0155,0.0478,0.2499,0.7023,0.9522
free_flow,39,769418,34.12659,-118.34465,8,0.0107,0.048,0.2444,0.7077,0.952
free_flow,118,717570,34.15302,-118.35921,9,0.0137,0.0485,0.2639,0.6876,0.9515
free_flow,11,767471,34.15691,-118.22469,9,0.0154,0.0489,0.2755,0.6756,0.9511
free_flow,173,717585,34.15564,-118.24188,6,0.0132,0.049,0.2999,0.6511,0.951
free_flow,24,717578,34.15478,-118.27076,7,0.0137,0.0491,0.2765,0.6744,0.9509
free_flow,177,767554,34.11966,-118.23143,9,0.0152,0.0491,0.4337,0.5172,0.9509
free_flow,89,767351,34.18022,-118.47022,7,0.0134,0.0494,0.2148,0.7358,0.9506
free_flow,28,767573,34.12964,-118.22901,8,0.0174,0.0496,0.3568,0.5936,0.9504
free_flow,48,760650,34.07505,-118.23256,8,0.0071,0.0503,0.2186,0.7311,0.9497
free_flow,110,717099,34.15648,-118.24674,8,0.0154,0.0503,0.2344,0.7153,0.9497
free_flow,3,717447,34.07248,-118.26772,9,0.0098,0.051,0.2953,0.6538,0.949
free_flow,53,716554,34.15597,-118.2666,7,0.0079,0.0511,0.2614,0.6875,0.9489
free_flow,37,718204,34.15541,-118.29575,8,0.0146,0.0511,0.227,0.7218,0.9489
free_flow,17,716337,34.07732,-118.28186,9,0.0101,0.0514,0.297,0.6516,0.9486
free_flow,114,717576,34.15559,-118.2957,8,0.0142,0.0522,0.2528,0.695,0.9478
free_flow,81,769431,34.15843,-118.45664,9,0.0132,0.0523,0.2233,0.7244,0.9477
free_flow,151,765265,34.18529,-118.47395,7,0.0112,0.0528,0.1816,0.7656,0.9472
free_flow,136,765182,34.06491,-118.25126,10,0.0156,0.0528,0.2496,0.6976,0.9472
free_flow,76,717499,34.15666,-118.44808,8,0.0108,0.0529,0.1684,0.7786,0.9471
free_flow,77,765171,34.16789,-118.46896,10,0.0087,0.053,0.1848,0.7622,0.947
free_flow,101,718371,34.09017,-118.23849,7,0.0112,0.0533,0.2374,0.7093,0.9467
free_flow,67,773880,34.15367,-118.3484,9,0.0148,0.0535,0.2504,0.6961,0.9465
free_flow,6,773062,34.05368,-118.23369,10,0.0105,0.0537,0.2444,0.702,0.9463
free_flow,192,717452,34.07502,-118.27356,10,0.0133,0.0538,0.3016,0.6446,0.9462
free_flow,2,767542,34.11641,-118.23819,8,0.0131,0.0541,0.3456,0.6003,0.9459
free_flow,142,773904,34.15641,-118.30266,9,0.0136,0.0552,0.2983,0.6465,0.9448
free_flow,0,773869,34.15497,-118.31829,9,0.0134,0.0557,0.3117,0.6325,0.9443
free_flow,141,769346,34.15677,-118.40424,10,0.0146,0.0567,0.2633,0.68,0.9433
free_flow,144,764853,34.06461,-118.25102,11,0.0091,0.0568,0.2719,0.6713,0.9432
free_flow,137,769358,34.15679,-118.42222,7,0.0082,0.0578,0.2521,0.6902,0.9422
free_flow,113,769467,34.15451,-118.39699,10,0.0113,0.058,0.2184,0.7236,0.942
free_flow,138,772513,34.06871,-118.23661,10,0.0127,0.0585,0.2658,0.6756,0.9415
free_flow,7,767620,34.13486,-118.22932,10,0.0144,0.0585,0.3103,0.6311,0.9415
free_flow,19,769402,34.12095,-118.33911,11,0.0116,0.0592,0.2697,0.671,0.9408
free_flow,175,768469,34.13583,-118.35993,10,0.0136,0.0595,0.2633,0.6772,0.9405
free_flow,20,769403,34.12073,-118.33928,10,0.0159,0.0599,0.3091,0.631,0.9401
free_flow,33,716328,34.06664,-118.25397,12,0.014,0.06,0.2945,0.6455,0.94
free_flow,166,772669,34.07828,-118.22834,12,0.0179,0.0605,0.2223,0.7172,0.9395
free_flow,92,767585,34.16556,-118.22432,8,0.0136,0.0607,0.278,0.6612,0.9393
free_flow,96,717481,34.10634,-118.32826,10,0.0147,0.061,0.2527,0.6863,0.939
free_flow,183,767495,34.10377,-118.24992,9,0.0161,0.0617,0.4115,0.5268,0.9383
free_flow,107,767455,34.14347,-118.22704,8,0.0142,0.0621,0.2784,0.6595,0.9379
free_flow,1,767541,34.11621,-118.23799,10,0.0129,0.0627,0.4484,0.4888,0.9373
free_flow,206,769373,34.10262,-118.31747,11,0.013,0.0637,0.2635,0.6728,0.9363
free_flow,195,717456,34.08102,-118.29325,11,0.0145,0.0642,0.307,0.6288,0.9358
free_flow,4,717446,34.07142,-118.26572,10,0.0119,0.0656,0.2953,0.6391,0.9344
free_flow,93,773024,34.05759,-118.24357,12,0.0151,0.0678,0.2623,0.6699,0.9322
free_flow,13,773906,34.1566,-118.30266,11,0.0153,0.0679,0.3209,0.6112,0.9321
free_flow,179,773974,34.14559,-118.22251,10,0.0118,0.068,0.3,0.632,0.932
free_flow,95,718379,34.14224,-118.27812,11,0.0112,0.0681,0.261,0.6709,0.9319
free_flow,161,717460,34.08571,-118.30161,12,0.0157,0.069,0.2584,0.6726,0.931
free_flow,79,718066,34.12302,-118.22889,10,0.0159,0.0694,0.1973,0.7333,0.9306
free_flow,123,767523,34.11439,-118.24209,8,0.0134,0.0697,0.4153,0.515,0.9303
free_flow,103,717488,34.13561,-118.36006,12,0.0124,0.0711,0.2828,0.6462,0.9289
free_flow,98,717486,34.12974,-118.34809,10,0.0082,0.0712,0.2529,0.6759,0.9288
free_flow,27,767572,34.12967,-118.22871,12,0.0149,0.0719,0.2235,0.7046,0.9281
free_flow,68,764766,34.13338,-118.3535,11,0.0126,0.0723,0.2732,0.6545,0.9277
free_flow,125,718090,34.14847,-118.27969,13,0.0151,0.0724,0.2903,0.6373,0.9276
free_flow,80,765164,34.07898,-118.28911,13,0.0138,0.0729,0.2873,0.6398,0.9271
free_flow,30,773013,34.08374,-118.22076,11,0.0143,0.0731,0.2645,0.6624,0.9269
free_flow,169,717580,34.1562,-118.26359,10,0.0138,0.0732,0.2503,0.6765,0.9268
free_flow,127,717472,34.10045,-118.31601,10,0.0139,0.0738,0.2775,0.6487,0.9262
free_flow,193,717453,34.07696,-118.28093,12,0.0114,0.0746,0.2677,0.6578,0.9254
free_flow,157,717465,34.09373,-118.30907,12,0.0155,0.0757,0.2371,0.6871,0.9243
free_flow,15,716331,34.07006,-118.26246,12,0.0113,0.0771,0.2973,0.6257,0.9229
free_flow,97,717480,34.10478,-118.32497,12,0.015,0.0773,0.2399,0.6828,0.9227
free_flow,191,717450,34.07488,-118.27362,12,0.0117,0.0782,0.2977,0.6241,0.9218
free_flow,82,769430,34.15818,-118.45658,14,0.01,0.079,0.1775,0.7435,0.921
free_flow,130,764781,34.16037,-118.47012,12,0.0096,0.079,0.1382,0.7827,0.921
free_flow,168,717583,34.15627,-118.25506,10,0.0129,0.0798,0.2549,0.6652,0.9202
free_flow,187,717458,34.08265,-118.29755,13,0.0086,0.0825,0.2272,0.6903,0.9175
free_flow,12,716339,34.07821,-118.28795,15,0.0079,0.0831,0.2596,0.6573,0.9169
free_flow,190,764858,34.1527,-118.3754,15,0.0137,0.0845,0.266,0.6495,0.9155
free_flow,198,769372,34.1027,-118.3173,13,0.0153,0.0874,0.2347,0.678,0.9126
free_flow,171,717587,34.15402,-118.23893,10,0.0154,0.0875,0.298,0.6145,0.9125
free_flow,188,717459,34.08294,-118.29729,15,0.0165,0.0892,0.2746,0.6362,0.9108
free_flow,72,717492,34.15459,-118.37935,15,0.0131,0.0903,0.2409,0.6689,0.9097
free_flow,43,760024,34.1593,-118.46483,13,0.0103,0.0908,0.1585,0.7507,0.9092
free_flow,108,767454,34.14352,-118.22733,10,0.0149,0.0916,0.2803,0.6281,0.9084
free_flow,146,717502,34.16521,-118.47484,14,0.0168,0.0917,0.1685,0.7398,0.9083
free_flow,128,717473,34.10054,-118.31581,14,0.0154,0.0918,0.234,0.6741,0.9082
free_flow,85,767621,34.13486,-118.22969,13,0.016,0.092,0.2594,0.6486,0.908
free_flow,132,762329,34.13904,-118.22862,13,0.016,0.0927,0.2418,0.6655,0.9073
free_flow,154,717469,34.0971,-118.31366,17,0.0133,0.095,0.2499,0.655,0.905
free_flow,155,717468,34.09699,-118.31381,14,0.0124,0.0954,0.2566,0.648,0.9046
free_flow,162,717463,34.09004,-118.3059,15,0.0156,0.0974,0.2396,0.663,0.9026
free_flow,163,717462,34.08993,-118.30607,14,0.0109,0.0996,0.2074,0.693,0.9004
free_flow,159,717466,34.09359,-118.30918,14,0.0136,0.1014,0.2506,0.648,0.8986
free_flow,160,717461,34.08558,-118.30174,17,0.0107,0.1094,0.2499,0.6406,0.8906
