setting,lambda_size,target,n_windows,entropy_of_mean,mean_of_entropy,std_of_entropy,sources_for_80pct_of_mean,mean_sources_for_80pct_per_window,self_importance,split_half_jaccard
10x,1.5,73,24,0.9973588491786739,0.9864831226492248,0.017658741901745066,155,148.75,0.44469610415399075,0.23076923076923078
10x,1.5,75,24,0.9989500923282397,0.9945737080364108,0.011132285614379065,160,156.58333333333334,0.45564899190018576,0.23076923076923078
10x,1.5,84,24,0.9978078525000956,0.9913934388275402,0.014517898777242239,157,151.0,0.3487797522296508,0.06666666666666667
10x,1.5,95,24,0.9991455743566187,0.9957672695790348,0.007918223130356204,160,156.5,0.40326164693882066,0.14285714285714285
10x,1.5,96,24,0.9995001236509484,0.9984231356984138,0.002231338106376261,161,158.75,0.6690811502436796,0.14285714285714285
10x,1.5,98,24,0.9988600636921288,0.9948695410198857,0.01385772910712164,160,157.08333333333334,0.3453436962639292,0.45454545454545453
10x,1.5,100,24,0.9977750387811436,0.9895111163579212,0.017909416478782983,156,150.75,0.4231561928366621,0.14285714285714285
10x,1.5,101,24,0.9993789441384593,0.9954541710309442,0.009001578895858293,161,155.54166666666666,0.41469777716944617,0.23076923076923078
10x,1.5,104,24,0.9992799698697722,0.9966798603123262,0.007011605817799089,160,156.41666666666666,0.4839467601850629,0.14285714285714285
10x,1.5,113,24,0.9992876727109976,0.9962401575274384,0.007272224081424583,161,156.79166666666666,0.4678187308212121,0.23076923076923078
10x,1.5,120,24,0.9987636364373811,0.9938849920901521,0.010814457405195222,159,154.83333333333334,0.49821913428604603,0.14285714285714285
10x,1.5,124,24,0.9995360110261889,0.9972715670633431,0.006654342319456398,161,158.04166666666666,0.4323758917550246,0.14285714285714285
10x,1.5,125,24,0.9993056386831974,0.9966454706584881,0.007150231515662867,161,158.45833333333334,0.452774694810311,0.14285714285714285
10x,1.5,135,24,0.9995088374712624,0.998440277698127,0.0024580656520468117,161,158.04166666666666,0.5819380848358074,0.7777777777777778
10x,1.5,138,24,0.9985859079009007,0.9930354171136108,0.011335106830980986,159,153.04166666666666,0.4862516385813554,0.3333333333333333
10x,1.5,141,24,0.9968868781192691,0.9893580950957764,0.01935152454572321,156,149.41666666666666,0.5393178804467121,0.0
10x,1.5,147,24,0.9994619558020782,0.997672795405761,0.004663447764270738,161,158.375,0.41374892679353553,0.14285714285714285
10x,1.5,148,24,0.9984287009613079,0.9913253513773808,0.01550248194307732,157,151.04166666666666,0.5803733952343464,0.23076923076923078
10x,1.5,154,24,0.9992836948126652,0.995739002285864,0.010525432575966323,161,156.625,0.41388897349437076,0.0
10x,1.5,155,24,0.9967439393099915,0.9873075818537486,0.016953684310425127,156,149.125,0.5427262224256992,0.23076923076923078
10x,1.5,161,24,0.9985546616606451,0.9916565177934684,0.01445349957926264,159,151.70833333333334,0.5382594224065542,0.23076923076923078
10x,1.5,164,24,0.999393698060547,0.9969208387651495,0.00531373369060261,161,157.25,0.47781024128198624,0.23076923076923078
10x,1.5,166,24,0.998882654767548,0.9942783309127273,0.009483631466861719,159,154.375,0.630967956657211,0.23076923076923078
10x,1.5,167,24,0.9995151529558008,0.9986210811390531,0.0015958059052860476,161,159.5,0.5841009064267079,0.45454545454545453
10x,1.5,170,24,0.9993058828458254,0.9967525464677137,0.004504629485609284,160,157.25,0.4508740874007344,0.23076923076923078
10x,1.5,171,24,0.9995140216123742,0.998191477216564,0.0015977958684529104,161,157.66666666666666,0.7141128865381082,0.45454545454545453
10x,1.5,184,24,0.9994614720113215,0.9985149278188441,0.0030528280061070546,161,158.66666666666666,0.5404358540351192,0.6
10x,1.5,189,24,0.9995155724175379,0.9973077422800278,0.005406354962142655,161,158.625,0.5307228372742733,0.0
10x,1.5,196,24,0.9971500396037115,0.9877303414060915,0.01387015463560924,158,151.58333333333334,0.6719059186677138,0.23076923076923078
10x,1.5,205,24,0.9994794169023449,0.9973167059134648,0.0033352248585697486,161,157.08333333333334,0.5744545441120863,0.06666666666666667
